name,code,eng_name,line,out_code,address,x,y
충무로,321,Chungmuro,03호선,331,서울특별시 중구 퇴계로 지하 199 (충무로역),126.994150735779,37.5613965840169
학여울,336,Hangnyeoul,03호선,346,서울특별시 강남구 남부순환로 지하 3104 (학여울),127.071166599707,37.4968851977644
홍제,314,Hongje,03호선,324,서울특별시 서대문구 통일로 지하 440-1 (홍제역),126.944158007985,37.5887953806088
과천,1453,Gwacheon,04호선,438,경기 과천시 대공원광장로 102,127.01990249053,37.4269323703359
길음,417,Gireum,04호선,417,서울특별시 성북구 동소문로 지하 248 (길음역),127.025059064911,37.6033947825571
남태령,434,Namtaeryeong,04호선,434,서울특별시 서초구 과천대로 지하 816(방배동) (남태령역),126.989085267707,37.4642499558525
노원,411,Nowon,04호선,411,서울특별시 노원구 동일로 지하1409 (상계동),127.063447137624,37.6563413439665
노원,411,Nowon,04호선,411,서울특별시 노원구 상계로 69-1 (4호선 노원역),127.063447137624,37.6563413439665
당고개,409,Danggogae,04호선,409,서울특별시 노원구 상계로 305 (당고개역),127.079068741818,37.6702179144106
대공원,1452,Seoul Grand Park,04호선,437,인천 남동구 무네미로 236,126.760172604759,37.4577612956601
대야미,1752,Daeyami,04호선,446,경기 군포시 송부로73번길 26,126.916898808774,37.3279668802974
동대문,421,Dongdaemun,04호선,421,서울특별시 중구 마른내로 지하162 (광희동1가),127.010631546623,37.5716676040162
동대문,421,Dongdaemun,04호선,421,서울특별시 종로구 종로 지하 302 (창신1동) (1호선 동대문역),127.010631546623,37.5716676040162
동대문,421,Dongdaemun,04호선,421,서울특별시 종로구  율곡로 지하 308 (종로6가) (4호선 동대문역),127.010631546623,37.5716676040162
동대문역사문화공원,422,Dongdaemun History  Culture Park,04호선,422,서울특별시 중구 을지로 지하 279 (2호선 동대문역역사문화공원역),127.009005301929,37.5656635044556
동대문역사문화공원,422,Dongdaemun History  Culture Park,04호선,422,서울특별시 중구 장충단로 지하 230 (4호선 동대문역사문화공원역),127.009005301929,37.5656635044556
동작,431,Dongjak,04호선,431,서울특별시 동작구 현충로 257(동작동) (4호선 동작역),126.980318892082,37.5029789395574
명동,424,Myeong-dong,04호선,424,서울특별시 중구 퇴계로 지하 126 (명동역),126.986400086711,37.5609634671841
미아,415,Mia,04호선,415,서울특별시 강북구 도봉로 지하 198 (미아역),127.026041090189,37.6266544891889
미아사거리,416,Miasamgeori,04호선,416,서울특별시 강북구 도봉로 지하 50 (미아삼거리역),127.030086636648,37.6132792649944
사당,433,Sadang,04호선,433,서울특별시 동작구 남부순환로 지하 2089(사당동) (2호선 사당역),126.981558584016,37.4765604303289
사당,433,Sadang,04호선,433,서울특별시 동작구  동작대로 지하 3(사당동) (4호선 사당역),126.981558584016,37.4765604303289
삼각지,428,Samgakji,04호선,428,서울특별시 용산구 한강대로 지하185 (한강로1가),126.974053962692,37.5356072956409
삼각지,428,Samgakji,04호선,428,서울특별시 용산구 한강대로 지하 180(한강로1가) (삼각지역),126.974053962692,37.5356072956409
상계,410,Sanggye,04호선,410,서울특별시 노원구 상계로 182 (상계역),127.073419461607,37.6607216309267
서울역,426,Seoul Station,04호선,426,서울특별시 세종대로 지하 2 (남대문로 5가) (1호선 서울역),126.972091251236,37.5559802396321
서울역,426,Seoul Station,04호선,426,서울특별시 용산구 한강대로 지하 392 (동자동) (4호선 서울역),126.972091251236,37.5559802396321
선바위,1450,Seonbawi,04호선,435,경기 과천시 중앙로 지하 440,127.001365246832,37.451870539762
성신여대입구,418,Sungshin Women`s Univ.,04호선,418,서울특별시 성북구 동소문로 지하 102 (성신여대역),127.017124928876,37.5929699315407
수유,414,Suyu,04호선,414,서울특별시 강북구 도봉로 지하 338 (수유역),127.025510241279,37.637884492978
숙대입구,427,Sookmyung Women`s Univ.,04호선,427,서울특별시 용산구 한강대로 지하 306(갈월동) (숙대입구역),126.972118127373,37.5445952301115
신길온천,1760,Singil oncheon,04호선,454,경기 안산시 단원구 황고개로 2,126.766883225692,37.3377084319562
신용산,429,Sinyongsan,04호선,429,서울특별시 용산구 한강대로 지하 112(한강로2가) (신용산역),126.967965039183,37.5292591489375
쌍문,413,Ssangmun,04호선,413,서울특별시 도봉구 도봉로 지하 486-1 (쌍문역),127.03465609756,37.6485426057036
오이도,1762,Oido,04호선,456,경기 시흥시 역전로 430,126.738417412838,37.3616054146721
이촌,430,Ichon,04호선,430,서울 용산구 이촌로71길 42,126.97354268962,37.5224129138313
정부과천청사,1454,Government Complex Gwacheon,04호선,439,경기 과천시 관문로 47,126.983494781777,37.4266535936461
창동,412,Chang-dong,04호선,412,서울특별시 도봉구 마들로 11길 77 (4호선 창동역),127.04764318915,37.6533393245862
총신대입구,432,Chongshin Univ.,04호선,432,서울특별시 동작구 동작대로 지하 117(사당동) (4호선 총신대입구역),126.982211871752,37.4867995957995
충무로,423,Chungmuro,04호선,423, 서울특별시 중구 퇴계로 지하199(충무로역),126.994150735779,37.5613965840169
충무로,423,Chungmuro,04호선,423,서울특별시 중구 퇴계로 지하 199 (충무로역),126.994150735779,37.5613965840169
평촌,1456,Pyeongchon,04호선,441,경기 안양시 동안구 관평로69번길 7-55,126.964621579868,37.3832419881171
한대앞,1755,Hanyang Univ. at Ansan,04호선,449,경기 안산시 상록구 충장로 337,126.853690806599,37.3097653493286
한성대입구,419,Hansung Univ.,04호선,419,서울특별시 성북구 삼선교로 지하 1 (한성대입구역),127.006018948943,37.5884228114979
혜화,420,Hyehwa,04호선,420,서울특별시 종로구 대학로 지하 120 (혜화역),127.001942745502,37.5820439179086
회현,425,Hoehyeon,04호선,425,서울 중구 퇴계로 지하 54,126.978238128257,37.5585367610574
강동,2549,Gangdong,05호선,548,서울특별시 강동구 천호대로 지하1097 (천호동),127.132396300314,37.5358819145235
개롱,2559,Gaerong,05호선,P553,서울특별시 송파구 오금로 지하402 (가락동),127.135079598384,37.4979682783882
개화산,2512,Gaehwasan,05호선,511,서울특별시 강서구 양천로 22 (방화동),126.806816115411,37.5725355310968
거여,2560,Geoyeo,05호선,P554,서울특별시 송파구 오금로 지하499 (거여동),127.143773841911,37.4933304500736
고덕,2553,Godeok,05호선,552,서울특별시 강동구 고덕로 지하253 (고덕동),127.154163212607,37.5550461508658
공덕,2530,Gongdeok,05호선,529,서울특별시 마포구 마포대로 지하100 (공덕동),126.951451177648,37.5445416897534
광나루,2547,Gwangnaru,05호선,546,서울특별시 광진구 아차산로 지하571 (광장동,127.103521464507,37.5452991715677
광화문,2534,Gwanghwamun,05호선,533,서울특별시 종로구 세종대로 지하172 (세종로),126.976423148119,37.5716477085545
군자,2545,Gunja,05호선,544,서울특별시 광진구 천호대로 지하550 (능동)  ,127.079512877207,37.5571496853206
굽은다리,2551,Gubeundari,05호선,550,서울특별시 강동구 양재대로 지하1572 (명일동),127.142882363205,37.5455169038965
길동,2550,Gil-dong,05호선,549,서울특별시 강동구 양재대로 지하1480 (길동),127.140021295948,37.5378264874159
