,code,date,in_people,out_people,name,line,address,x,y
181,224,20151225,14942.0,14701.0,서초,02호선,서울특별시 서초구 서초대로 지하 233 (서초역),127.007662120039,37.4918499338918
182,224,20161224,13363.0,12794.0,서초,02호선,서울특별시 서초구 서초대로 지하 233 (서초역),127.007662120039,37.4918499338918
183,224,20161225,16423.0,16323.0,서초,02호선,서울특별시 서초구 서초대로 지하 233 (서초역),127.007662120039,37.4918499338918
184,224,20171224,16462.0,15412.0,서초,02호선,서울특별시 서초구 서초대로 지하 233 (서초역),127.007662120039,37.4918499338918
185,224,20171225,12790.0,12230.0,서초,02호선,서울특별시 서초구 서초대로 지하 233 (서초역),127.007662120039,37.4918499338918
186,225,20151224,23348.0,23333.0,방배,02호선,서울특별시 서초구 방배로 지하 80 (방배역),126.997553345516,37.4814561268152
187,225,20151225,9961.0,9763.0,방배,02호선,서울특별시 서초구 방배로 지하 80 (방배역),126.997553345516,37.4814561268152
188,225,20161224,13141.0,12971.0,방배,02호선,서울특별시 서초구 방배로 지하 80 (방배역),126.997553345516,37.4814561268152
189,225,20161225,9314.0,9329.0,방배,02호선,서울특별시 서초구 방배로 지하 80 (방배역),126.997553345516,37.4814561268152
190,225,20171224,9368.0,9174.0,방배,02호선,서울특별시 서초구 방배로 지하 80 (방배역),126.997553345516,37.4814561268152
191,225,20171225,8919.0,9038.0,방배,02호선,서울특별시 서초구 방배로 지하 80 (방배역),126.997553345516,37.4814561268152
192,226,20151224,86817.0,82563.0,사당,02호선,서울특별시 동작구 남부순환로 지하 2089(사당동) (2호선 사당역),126.981558584016,37.476560430328895
193,226,20151225,51320.0,50868.0,사당,02호선,서울특별시 동작구 남부순환로 지하 2089(사당동) (2호선 사당역),126.981558584016,37.476560430328895
194,226,20161224,61461.0,62185.0,사당,02호선,서울특별시 동작구 남부순환로 지하 2089(사당동) (2호선 사당역),126.981558584016,37.476560430328895
195,226,20161225,46001.0,48394.0,사당,02호선,서울특별시 동작구 남부순환로 지하 2089(사당동) (2호선 사당역),126.981558584016,37.476560430328895
196,226,20171224,44869.0,45184.0,사당,02호선,서울특별시 동작구 남부순환로 지하 2089(사당동) (2호선 사당역),126.981558584016,37.476560430328895
197,226,20171225,43136.0,45507.0,사당,02호선,서울특별시 동작구 남부순환로 지하 2089(사당동) (2호선 사당역),126.981558584016,37.476560430328895
198,227,20151224,36517.0,32958.0,낙성대,02호선,서울특별시 관악구 남부순환로 지하 1928(봉천동) (2호선 낙성대역),126.963523905001,37.477093240996496
199,227,20151225,21374.0,18807.0,낙성대,02호선,서울특별시 관악구 남부순환로 지하 1928(봉천동) (2호선 낙성대역),126.963523905001,37.477093240996496
200,227,20161224,26812.0,24034.0,낙성대,02호선,서울특별시 관악구 남부순환로 지하 1928(봉천동) (2호선 낙성대역),126.963523905001,37.477093240996496
201,227,20161225,18909.0,18818.0,낙성대,02호선,서울특별시 관악구 남부순환로 지하 1928(봉천동) (2호선 낙성대역),126.963523905001,37.477093240996496
202,227,20171224,19553.0,17594.0,낙성대,02호선,서울특별시 관악구 남부순환로 지하 1928(봉천동) (2호선 낙성대역),126.963523905001,37.477093240996496
203,227,20171225,18685.0,18713.0,낙성대,02호선,서울특별시 관악구 남부순환로 지하 1928(봉천동) (2호선 낙성대역),126.963523905001,37.477093240996496
204,228,20151224,61855.0,58696.0,서울대입구,02호선,서울특별시 관악구 남부순환로 지하 1822 (서울대입구역),126.952713197762,37.4812845080678
205,228,20151225,37084.0,35052.0,서울대입구,02호선,서울특별시 관악구 남부순환로 지하 1822 (서울대입구역),126.952713197762,37.4812845080678
206,228,20161224,46502.0,44300.0,서울대입구,02호선,서울특별시 관악구 남부순환로 지하 1822 (서울대입구역),126.952713197762,37.4812845080678
207,228,20161225,33861.0,34142.0,서울대입구,02호선,서울특별시 관악구 남부순환로 지하 1822 (서울대입구역),126.952713197762,37.4812845080678
208,228,20171224,33679.0,32313.0,서울대입구,02호선,서울특별시 관악구 남부순환로 지하 1822 (서울대입구역),126.952713197762,37.4812845080678
209,228,20171225,34414.0,34531.0,서울대입구,02호선,서울특별시 관악구 남부순환로 지하 1822 (서울대입구역),126.952713197762,37.4812845080678
210,229,20151224,28057.0,25794.0,봉천,02호선,서울특별시 봉천동,126.93938529999998,37.482476
211,229,20151225,16169.0,14711.0,봉천,02호선,서울특별시 봉천동,126.93938529999998,37.482476
212,229,20161224,19064.0,17352.0,봉천,02호선,서울특별시 봉천동,126.93938529999998,37.482476
213,229,20161225,14055.0,13128.0,봉천,02호선,서울특별시 봉천동,126.93938529999998,37.482476
214,229,20171224,14025.0,12824.0,봉천,02호선,서울특별시 봉천동,126.93938529999998,37.482476
215,229,20171225,14015.0,13308.0,봉천,02호선,서울특별시 봉천동,126.93938529999998,37.482476
216,230,20151224,88380.0,87419.0,신림,02호선,서울특별시 신림동,126.92705890000002,37.4841985
217,230,20151225,59724.0,58054.0,신림,02호선,서울특별시 신림동,126.92705890000002,37.4841985
